time_range,year,count
12am–4am,2010,68492
4am–7am,2010,16276
7am–12pm,2010,70666
12pm–5pm,2010,95633
6pm–9pm,2010,61861
9pm–12am,2010,57313
12am–4am,2011,64569
4am–7am,2011,16251
7am–12pm,2011,68210
12pm–5pm,2011,91741
6pm–9pm,2011,58546
9pm–12am,2011,53096
12am–4am,2012,61474
4am–7am,2012,15498
7am–12pm,2012,65850
12pm–5pm,2012,86695
6pm–9pm,2012,56328
9pm–12am,2012,50442
12am–4am,2013,54349
4am–7am,2013,13655
7am–12pm,2013,61329
12pm–5pm,2013,82334
6pm–9pm,2013,51475
9pm–12am,2013,44156
12am–4am,2014,48257
4am–7am,2014,12631
7am–12pm,2014,53658
12pm–5pm,2014,73062
6pm–9pm,2014,47651
9pm–12am,2014,40631
12am–4am,2015,47430
4am–7am,2015,12491
7am–12pm,2015,50991
12pm–5pm,2015,69311
6pm–9pm,2015,45588
9pm–12am,2015,39052
12am–4am,2016,49112
4am–7am,2016,13464
7am–12pm,2016,53551
12pm–5pm,2016,71028
6pm–9pm,2016,45169
9pm–12am,2016,37978
12am–4am,2017,48014
4am–7am,2017,13020
7am–12pm,2017,52928
12pm–5pm,2017,72829
6pm–9pm,2017,45314
9pm–12am,2017,37128
12am–4am,2018,48270
4am–7am,2018,13493
7am–12pm,2018,53507
12pm–5pm,2018,72799
6pm–9pm,2018,44481
9pm–12am,2018,36179
12am–4am,2019,48072
4am–7am,2019,12737
7am–12pm,2019,51448
12pm–5pm,2019,70872
6pm–9pm,2019,43565
9pm–12am,2019,35271
